7,1493
11,1489
13,1487
17,1483
19,1481
29,1471
41,1459
47,1453
53,1447
61,1439
67,1433
71,1429
73,1427
101,1399
127,1373
139,1361
173,1327
179,1321
181,1319
193,1307
197,1303
199,1301
211,1289
223,1277
241,1259
251,1249
263,1237
269,1231
271,1229
277,1223
283,1217
307,1193
313,1187
337,1163
347,1153
349,1151
383,1117
397,1103
409,1091
431,1069
439,1061
449,1051
461,1039
467,1033
479,1021
487,1013
491,1009
503,997
509,991
523,977
547,953
563,937
571,929
593,907
613,887
617,883
619,881
641,859
643,857
647,853
661,839
673,827
677,823
691,809
727,773
739,761
743,757
